##	NA
1	P48742
AGAP3	Q96P47
AGAP4	Q96P64
AGAP9	Q5VTM2
AGBL2	Q5U5Z8
AGBL3	Q8NEM8
AGBL5	Q8NDL9
AGFG1	P52594
AGFG2	O95081
AGGF1	Q8N302
AGK	Q53H12
AGL	P35573
AGPAT3	Q9NRZ7
AGPAT4	Q9H0P7
AGPAT6	Q86UL3
AGPAT9	Q53EU6
AGPS	O00116
AGR2	O95994
AGRN	O00468
AGTPBP1	Q9UPW5
AGTR1	P30556
AGTR2	P50052
AGTRAP	Q6RW13
AGXT2	Q9BYV1
AHCY	P23526
AHCYL1	O43865
AHDC1	Q5TGY3
AHI1	P0C7V0
AHNAK	Q09666
AHR	P35869
AHRR	A9YTQ3
AHSA1	O95433
AHSA2	Q719I0
AHSG	P02765
AHSP	Q9NZD4
AICDA	Q9GZX7
AIDA	Q96BJ3
AIF1	P55008
AIFM1	O95831
AIFM3	Q96NN9
AILE3	A2VED4
AIM1	Q9Y4K1
AIM2	O14862
AIMP1	Q12904
AIMP2	Q13155
AIP	Q9NWT8
AIPL1	Q9NZN9
AIRE	O43918
AJAP1	Q9UKB5
AK1	P00568
AK3	Q9UIJ7
AK5	Q9Y6K8
AK7	Q96M32
AKAP1	Q92667
AKAP10	O43572
AKAP11	Q9UKA4
AKAP12	Q02952
AKAP13	Q12802
AKAP14	Q86UN6
AKAP2	NA
AKAP3	O75969
AKAP4	Q5JQC9
AKAP5	P24588
AKAP6	Q13023
AKAP8	O43823
AKAP8L	Q9ULX6
AKIRIN1	Q9H9L7
AKIRIN2	Q53H80
AKNA	Q7Z591
AKR1A1	P14550
AKR1B1	P15121
AKR1B10	O60218
AKR1C1	Q04828
AKR1C3	P42330
AKR1C4	P17516
AKR1D1	P51857
AKR7A2	O43488
AKT1	P31749
AKT1S1	Q96B36
AKT2	P31751
AKT3	Q9Y243
AKTIP	Q9H8T0
AL592307.2	Q5VTG7
AL953854.2-001	NA
ALAS1	P13196
ALAS2	P22557
ALB	P02768
ALCAM	Q13740
ALDH1A1	P00352
ALDH1A2	O94788
ALDH1A3	P47895
ALDH1B1	P30837
ALDH1L1	O75891
ALDH1L2	Q3SY69
ALDH2	P05091
ALDH3A1	P30838
ALDH3B2	P48448
ALDH4A1	P30038
ALDH7A1	P49419
ALDH9A1	P49189
ALDOA	P04075
ALDOB	P05062
ALDOC	P09972
ALF	Q9UNN4
ALG1	Q9BT22
ALG10	Q5BKT4
ALG12	Q9BV10
ALG14	Q96F25
ALG2	Q9H553
ALG3	Q92685
ALG6	Q9Y672
ALG8	Q9BVK2
ALK	Q9UM73
ALKBH3	Q96Q83
ALKBH5	Q6P6C2
ALMS1	Q8TCU4
ALOX12	P18054
ALOX12B	O75342
ALOX15	P16050
ALOX5	P09917
alpha	Q5STB3
AlphaTFEB	Q86WB1
ALPK1	Q96QP1
ALPP	P05187
ALR	O14686
ALS2	Q96Q42
ALS2CR12	Q96Q35
ALS2CR16	Q6ZS30
ALS2CR3	O60296
ALS2CR4	Q96Q45
ALS2CR8	Q8N187
ALX1	Q15699
ALX4	Q9H161
AMBP	P02760
AMBRA1	Q9C0C7
AMD1	P17707
AMDHD1	Q96NU7
AMFR	Q9UKV5
